Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID,,,,,
1,Brenden Aaronson,MF,USA,25,2000,0.8,1,0,Knockout,0,No,5bc43860,,,,,
2,Thelo Aasgaard,MF,Norway,24,2002,1,1,3,Knockout,3,No,c88a28b9,,,,,
3,Hamza Abdelkarim,FW,Egypt,18,2008,0.7,0,0,Knockout,0,No,057d8f12,,,,,
4,Hossam Abdelmaguid,DF,Egypt,25,2001,0.7,0,1,Knockout,1.428571429,Yes,accbfc94,,,,,
5,Mohamed Abdelmonem,DF,Egypt,27,1999,0.2,0,0,Knockout,0,Yes,bff15d74,,,,,
6,Ali Abdi,DF,Tunisia,32,1993,3,8,4,Group Stage Eliminated,1.333333333,Yes,ad7cdb35,,,,,
7,Saud Abdulhamid,DF,Saudi Arabia,26,1999,3,9,2,Group Stage Eliminated,0.666666667,Yes,caa254e4,,,,,
8,Abdulla Abdullaev,DF,Uzbekistan,28,1997,2,2,3,Group Stage Eliminated,1.5,Yes,03053fbf,,,,,
9,Yusuf Abdurisag,FW,Qatar,26,1999,1.1,2,1,Group Stage Eliminated,0.909090909,No,13c8f40b,,,,,
10,Husam Abu Dahab,DF,Jordan,26,2000,2,3,0,Group Stage Eliminated,0,Yes,300aaeb6,,,,,
11,Mohammad Abu Hasheesh,DF,Jordan,31,1995,0.1,2,0,Group Stage Eliminated,0,Yes,72c2fa7a,,,,,\
12,Mohannad Abu Taha,DF,Jordan,23,2003,2.9,2,6,Group Stage Eliminated,2.068965517,Yes,5c4bac6c,,,,,
13,Mo Abualnadi,DF,Jordan,25,2001,0.8,0,0,Group Stage Eliminated,0,Yes,4bff62e4,,,,,
14,Yazeed Abulaila,GK,Jordan,33,1993,3,0,0,Group Stage Eliminated,0,No,5d11fc17,,,,,
15,Mahmoud Abunada,GK,Qatar,26,2000,3,0,0,Group Stage Eliminated,0,No,27e7e545,,,,,
16,Elias Achouri,FWMF,Tunisia,27,1999,0.5,2,0,Group Stage Eliminated,0,No,4dd2a0be,,,,,
17,Ché Adams,FW,Scotland,29,1996,1.6,1,0,Group Stage Eliminated,0,No,f2bf1b0f,,,,,
18,Jayden Adams,MF,South Africa,25,2001,1.3,0,2,Knockout,1.538461538,No,259affab,,,,,
19,Tyler Adams,MF,USA,27,1999,3.8,5,8,Knockout,2.105263158,No,2b09d998,,,,,
20,Ricardo Adé,DF,Haiti,36,1990,3,2,5,Group Stage Eliminated,1.666666667,Yes,a9ee5e81,,,,,
21,Ibrahim Adel,MF,Egypt,25,2001,0,0,0,Knockout,,No,4869216e,,,,,
22,Simon Adingra,FWMF,Côte d'Ivoire,24,2002,0.2,0,0,Knockout,0,No,4dcec659,,,,,
23,Jonas Adjetey,DF,Ghana,22,2003,2.5,3,1,Knockout,0.4,Yes,bdbf78cd,,,,,
24,Michel Aebischer,MFFW,Switzerland,29,1997,1.7,1,0,Knockout,0,No,f9c927de,,,,,
25,Akram Afif,FWMF,Qatar,29,1996,2.6,1,0,Group Stage Eliminated,0,No,fd53d9e7,,,,,
26,Emmanuel Agbadou,DF,Côte d'Ivoire,28,1997,3,6,4,Knockout,1.333333333,Yes,75f1ed80,,,,,
27,Rodrigo Aguirre,FW,Uruguay,31,1994,0,0,0,Group Stage Eliminated,,No,b5691f5d,,,,,
28,Ali Ahmed,MF,Canada,25,2000,2.6,2,3,Knockout,1.153846154,No,540a5be1,,,,,
29,Homam Ahmed,DF,Qatar,26,1999,1.4,1,3,Group Stage Eliminated,2.142857143,Yes,a62fa158,,,,,
30,Rayan Aït-Nouri,DF,Algeria,25,2001,3.2,13,5,Knockout,1.5625,Yes,9b398aea,,,,,
